SL.,Facility Level,Facility Code,Facility Name,Facility Type,Division Name,District Name,Facility_short_name
1330,UHC,10000162,Gopinathpur 10 bed Hospital (RHC),10-bed Hospital,Dhaka,Gopalganj,RHC
1449,UHC,10000690,Guinak 10 bed Hospital (RHC),10-bed Hospital,Chattogram,Brahmanbaria,RHC
1479,UHC,10000828,Sandwip 10 bed Hospital (RHC),10-bed Hospital,Chattogram,Chattogram,RHC
1488,UHC,10000853,Kalikapur 10 bed Hospital (RHC),10-bed Hospital,Chattogram,Cumilla,RHC
1529,UHC,10000984,Talbalchhari 10 bed Hospital (RHC),10-bed Hospital,Chattogram,Khagrachhari,RHC
1538,UHC,10001027,"Begumganj 10 Beded Hospital, Noakhali",10-bed Hospital,Chattogram,Noakhali,
1554,UHC,10001075,Kaptai 10 bed Hospital,10-bed Hospital,Chattogram,Rangamati,
1596,UHC,10001256,Ramchandrapur 10 bed Hospital (RHC),10-bed Hospital,Rangpur,Gaibandha,RHC
1610,UHC,10001323,Raiganj 10 bed Hospital (RHC),10-bed Hospital,Rangpur,Kurigram,RHC
1687,UHC,10001646,Khokshabari 10 bed Hospital (RHC),10-bed Hospital,Rajshahi,Sirajganj,RHC
1737,UHC,10001823,"Kapilmuni Vorotchandra Hospital, Paikgacha, Khulna.",10-bed Hospital,Khulna,Khulna,
1763,UHC,10001934,Kukua 10 bed Hospital,10-bed Hospital,Barishal,Barguna,
1773,UHC,10001967,Chhakhar 10 bed Hospital,10-bed Hospital,Barishal,Barishal,
1793,UHC,10002019,Kirtipasha 10 bed Hospital (RHC),10-bed Hospital,Barishal,Jhalokati,RHC
1886,UHC,10013110,"Rowanchari 10 Beded Hospital, Bandarban",10-bed Hospital,Chattogram,Bandarban,
1887,UHC,10013111,"Shyampur 10 Beded Hospital, Dhaka",10-bed Hospital,Dhaka,Dhaka,
1890,UHC,10013114,"Kaitak 10 Beded Hospital, Sunamganj",10-bed Hospital,Sylhet,Sunamganj,
1309,UHC,10000073,Jinjira 20 bed Hospital,20-bed Hospital,Dhaka,Dhaka,
1381,UHC,10000394,"Paranganj 20 Beded Hospital, Mymensingh",20-bed Hospital,Mymensingh,Mymensingh,
1387,UHC,10000416,Monohargram 20 bed Hospital,20-bed Hospital,Dhaka,Narayanganj,
1389,UHC,10000421,Fatullah 20 bed Hospital,20-bed Hospital,Dhaka,Narayanganj,
1390,UHC,10000423,Siddirganj 20 bed Hospital,20-bed Hospital,Dhaka,Narayanganj,
1416,UHC,10000547,Kodalpur 20 bed Hospital,20-bed Hospital,Dhaka,Shariatpur,
1471,UHC,10000780,Bibirhat 20 bed Hospital,20-bed Hospital,Chattogram,Chattogram,
1484,UHC,10000843,Sonaimuri 20 bed Hospital,20-bed Hospital,Chattogram,Cumilla,
1490,UHC,10000858,Mohichail 20 bed Hospital,20-bed Hospital,Chattogram,Cumilla,
1497,UHC,10000877,"Donarchar(New Created) 20 Beded Hospital, Cumilla",20-bed Hospital,Chattogram,Cumilla,
1500,UHC,10000891,Bagmara 20 bed Hospital,20-bed Hospital,Chattogram,Cumilla,
