SL.,Facility Level,Facility Code,Facility Name,Facility Type,Division Name,District Name
1306,UHC,10000064,"Dhamrai Upazila Health Complex, Dhaka",Upazila Health Complex,Dhaka,Dhaka
1307,UHC,10000069,"Dohar Upazila Health Complex, Dhaka",Upazila Health Complex,Dhaka,Dhaka
1310,UHC,10000074,"Keraniganj Upazila Health Complex, Dhaka",Upazila Health Complex,Dhaka,Dhaka
1311,UHC,10000080,"Nawabganj Upazila Health Complex, Dhaka",Upazila Health Complex,Dhaka,Dhaka
1312,UHC,10000083,"Savar Upazila Health Complex, Dhaka",Upazila Health Complex,Dhaka,Dhaka
1313,UHC,10000085,"Alfadanga Upazila Health Complex, Faridpur",Upazila Health Complex,Dhaka,Faridpur
1314,UHC,10000089,"Bhanga Upazila Health Complex, Faridpur",Upazila Health Complex,Dhaka,Faridpur
1315,UHC,10000095,"Boalmari Upazila Health Complex, Faridpur",Upazila Health Complex,Dhaka,Faridpur
1316,UHC,10000098,"Charbhadrason Upazila Health Complex, Faridpur",Upazila Health Complex,Dhaka,Faridpur
1322,UHC,10000113,"Modhukhali Upazila Health Complex, Faridpur",Upazila Health Complex,Dhaka,Faridpur
1323,UHC,10000120,"Nagarkanda Upazila Health Complex, Faridpur",Upazila Health Complex,Dhaka,Faridpur
1324,UHC,10000128,"Sadarpur Upazila Health Complex, Faridpur",Upazila Health Complex,Dhaka,Faridpur
1325,UHC,10000141,"Kaliakair Upazila Health Complex, Gazipur",Upazila Health Complex,Dhaka,Gazipur
1326,UHC,10000144,"Kaliganj Upazila Health Complex, Gazipur",Upazila Health Complex,Dhaka,Gazipur
1327,UHC,10000146,"Kapasia Upazila Health Complex, Gazipur",Upazila Health Complex,Dhaka,Gazipur
1328,UHC,10000151,"Sreepur Upazila Health Complex, Gazipur",Upazila Health Complex,Dhaka,Gazipur
1331,UHC,10000167,"Kashiani Upazila Health Complex, Gopalganj",Upazila Health Complex,Dhaka,Gopalganj
1332,UHC,10000173,"Kotalipara Upazila Health Complex, Gopalganj",Upazila Health Complex,Dhaka,Gopalganj
1333,UHC,10000181,"Muksudpur Upazila Health Complex, Gopalganj",Upazila Health Complex,Dhaka,Gopalganj
1334,UHC,10000182,"Tungipara Upazila Health Complex, Gopalganj",Upazila Health Complex,Dhaka,Gopalganj
1335,UHC,10000188,"Bakshiganj Upazila Health Complex, Jamalpur",Upazila Health Complex,Mymensingh,Jamalpur
1336,UHC,10000191,"Dewanganj Upazila Health Complex, Jamalpur",Upazila Health Complex,Mymensingh,Jamalpur
1337,UHC,10000196,"Islampur Upazila Health Complex, Jamalpur",Upazila Health Complex,Mymensingh,Jamalpur
